text,label
",доставка быстрая ,начинки мало",Мало начинки
"+ Привезли в установленное время, и на этом плюсы закончились.
- Привезли без термо сумки
- Еда чуть тёплая
- За такое качество еды, цена явно завышена
- Так и не понял прикола по поводу магнитов, хотят дают, хотят не дают
- Раньше часто заказывал, доставка была быстрее, пицца было горячая и сочная. В этот раз разочарован полностью.",Холодные блюда
"💩Ужасно! Ужасная клиентоориентированность, не позвонили уточнить заказ, просили связаться с нами несколько раз, никто не позвонил. 1) Не положили приборы. 2) По факту горячие роллы приехали полу теплыми. 3) Написано ожидание ≈60 минут, по итогу ждали 2 часа, если не больше. Больше заказов у вас делать не будем. Стыд и позор. 💩","Задержка, Неполная комлектация, Холодные блюда"
"1. Задержка от изначально ориентировочных сроков доставки - 50%
2. Привезли не на тот адрес (хотя оператору отмечалось что нужно именно ВОТ СЮДА)
3. Звонок курьера который уверяет что я именно тут, но тут его нет. Скинул ГЕО - ""через 10 минут буду"" - проходит 25 минут - курьер приезжает.
4. Ну и вишенька на торте. Заказывали 2 том яма (помимо остального) - привезли один. В результате один ест, а второй смотрит.","Задержка, Не туда привезли, Не довезли"
"1) Примерное время доставки было 19:00, заказ доставили почти в 20:00 из-за этого, то что должно быть горячим, было тёплым. 
2) Зачем класть соус в такие узкие по диаметру баночки? Из-за этого, нет возможности опустить в соус суши.","Задержка, Холодные блюда"
2 с половиной часа доставка 👍,Долгая доставка
"2 ставлю только из-за доставки вкусный сет привезли прям очень вкусный, но очень долго и курьер женщина протянувшая пакет на по хуй, я говорю здравствуйте спасибо в ответ тишина, у всех свои обстоятельства конечно, но я ничем не заслужил такого отношения, это нужно было видеть, прождал больше полутора часов, тут звонок я сразу открыл радостный, женщина в черных очках протянула пакет на похуизме не сказавшая ни слова, развернулась и ушла, я обычно всегда осталяю чаевые курьеру, а тут настроению пизда пришла, удивлён конечно сильно, не разу у меня не было таких курьеров, я не прошу мне улыбаться, но по людски хотя бы","Долгая доставка, Низкое качество обслуживания"
"2 часа ждала, а в итоге даже не отвечают",Не доставлен
"3 раза пытался заказать, каждый раз заказ отменен",Отмена заказа
"50/50
было лучше
заказала соус домом за 50 р, а получила 10 гр.. много очень, прям на один зубок",Неполная комплектация 
"А нам не было доставки, а вы написали, что уже доставлент",Не доставлен
"Абсолютно разочарован, самый отвратительный сет в моей жизни(",Невкусно
"авокадо в роллах было твёрдым и не спелым, не очень вкусно :_)",Невкусно
"Без каких либо вау и супер, просто по жевать и проглотить... у пиццы тесто не пропеклось...",Недоготовленное
"Без причины отменяют заказ, хотя до закрытия еще больше получаса",Отмена заказа
"Беру не в первый раз, но в этот раз разочаровались. Заказали 2 кг роллов, ждали 2,5 часа😳. На сайте нигде нельзя выбрать, сколько соусов надо, поэтому указали приборы на 4 человек в заказе. По итогу пришло всего 2 соуса, 1 васаби и 2 имбиря. Разберитесь, пожалуйста, с данной проблемой.","Задержка, Неполная комплектация"
блинчики были очень пересолены,Пересолено
"Блюда вкусные
Но, специально поставила ""не перезванивать"", потому что не люблю звонки. И мне позвонили 3 раза. 1 раз, чтобы поинтересоваться, и 2 раза, что курьер в пути",Не учли пожелание
"Блюда не соответствуют стоимости, было невкусно",Невкусно
"Блюда привезли холодные, лапша в удоне и собе переварена и оба эти блюда пресные, не рекомендую","Переварено, Недосолено, Холодные блюда"
"Боже это было очень отвратительно, Разваливается, роллы в коробке все перемешаны некоторые не слиплись.Курица в удоне просто с кровью какието ошметки.Доставили, все соки с удона вытекли в пакет все грязное.Просто отврат","Разваливается, Плохая транспортировка"
"Более двух часов ждали еду, начала звонить, оказалось курьера отправили в другой район, и предложили доставить через 25 минут‼️просто 2,5 часа ждать еду, это нормально? Ужас просто. Я не в первый раз сталкиваюсь с такой проблемой! Думаю, что это был точно последний раз, когда я заказала у вас!",Задержка
"Больше заказывать не буду, пишут что доставлен заказ хотя вообще ничего не доставили. Баллы попусту потратил👎",Не доставлен
"Булка на ход-доге резиновая, по фото габариты значительно больше чем в действительности. Вид на фото и фактический не соответствует. Булки маленькие цене не соответствуют","Маленькие порции, Несоответствие фото"
"Бургер весь развалился,люля кебаб-сухой","Разваливается, Сухо"
"бургеры брались детям, они сделали укус и нестали есть. я попробовал и ужаснулся вкус мяса как будто протухшее. очень расстроились!!!", Несвежие блюда
"бургеры так себе, котлета куриная не вкусная, вместо соуса майонез, ещё и свежий огурец зачем то засунули....","Невкусно, несоответствие состава"
"Бургеры хорошие, но приехали очень холодными. Про роллы вообще отдельная песня, заказал горячий набор, а он приехал холодный и очень невкусный не советую это треш","Холодные блюда, Невкусно"
"Был заказ на филадельфию с огурцом, огурца нет",Несоответствие состава
"Был испорченый соус на сушах , отвратительный вкус",Несвежие блюда
"Был очень не вкусный имбирь, имел какой-то химозный привкус. В итоге просто весь выкинули",Невкусно
"был перепутан заказ, вместо, бургера секрет, привезли с курицей, вместо роллы терепмура с курицей, был привезён рол с мидией",Не то привезли
"было написано доставка будет ±за час, но, доставили за 3 часа. ужас!!!",Задержка
"Было не вкусно, зря потраченные деньги", Невкусно
"Было не вкусно, цезарь просто залили майонезом и по ощущение салат уже как минимум 2 недели был пропавшим","Невкусно, Несвежие блюда"
"В бургере был песок , скрепило громко при чафканье",Инородный предмет в продукции
"В еде полное разочарование.Такое ощущение,что разогрели чей то отказ!Кальцоне сделано на отъ.б.сь.Заказывать в этом заведении больше не буду!Задали позицию ребята.👎👎👎👎👎Раньше было лучше.",Невкусно
"В заказе , прям в сушах нашла пучок ресниц наращенных 😭😭😭🤢🤮",Инородный предмет в продукции
